iter	Passed	Remaining
0	0	628
1	1	573
2	1	536
3	2	512
4	2	530
5	3	518
6	3	507
7	4	503
8	4	494
9	4	487
10	5	491
11	5	492
12	6	495
13	7	499
14	7	503
15	8	515
16	9	523
17	9	528
18	10	528
19	10	523
20	11	522
21	11	519
22	12	517
23	12	513
24	13	510
25	13	517
26	14	516
27	14	519
28	15	518
29	15	516
30	16	514
31	16	511
32	17	508
33	17	506
34	18	505
35	19	509
36	19	515
37	20	518
38	21	519
39	21	518
40	22	518
41	22	517
42	23	515
43	23	513
44	24	511
45	24	510
46	25	513
47	25	514
48	26	517
49	27	522
50	28	524
51	28	525
52	29	525
53	30	526
54	30	530
55	31	530
56	32	532
57	32	529
58	33	528
59	33	527
60	34	525
61	34	524
62	35	524
63	36	527
64	36	528
65	37	529
66	37	528
67	38	527
68	39	526
69	39	525
70	40	524
71	40	523
72	41	522
73	41	523
74	42	523
75	43	523
76	43	524
77	44	522
78	44	521
79	45	517
80	45	516
81	45	514
82	46	514
83	47	515
84	47	514
85	48	516
86	49	515
87	49	514
88	50	513
89	50	512
90	51	511
91	51	510
92	52	511
93	53	511
94	53	512
95	54	512
96	54	511
97	55	510
98	55	508
99	56	507
100	56	505
101	57	505
102	58	507
103	58	506
104	59	506
105	59	505
106	60	504
107	61	503
108	61	503
109	62	502
110	62	502
111	63	501
112	63	502
113	64	503
114	65	502
115	65	501
116	66	501
117	66	500
118	67	499
119	67	498
120	68	496
121	68	496
122	69	497
123	70	497
124	71	497
125	71	496
126	72	494
127	72	493
128	72	492
129	73	491
130	73	490
131	74	490
132	75	489
133	75	489
134	76	490
135	76	488
136	77	487
137	77	486
138	78	485
139	78	484
140	79	484
141	80	484
142	80	484
143	81	484
144	82	484
145	82	483
146	83	482
147	83	481
148	84	481
149	84	480
150	85	479
151	85	479
152	86	479
153	87	479
154	87	478
155	88	478
156	88	477
157	89	476
158	89	475
159	90	473
160	90	473
161	91	473
162	92	474
163	93	474
164	93	473
165	94	472
166	94	471
167	95	470
168	95	469
169	95	468
170	96	469
171	97	469
172	98	468
173	98	468
174	99	467
175	99	466
176	100	466
177	100	465
178	101	464
179	102	465
180	102	464
181	103	465
182	104	464
183	104	463
184	105	463
185	105	462
186	106	462
187	106	461
188	107	461
189	108	461
190	108	461
191	109	461
192	110	460
193	110	459
194	111	458
195	111	457
196	112	456
197	112	455
198	113	455
199	113	455
200	114	455
201	115	455
202	115	455
203	116	454
204	116	453
205	117	452
206	117	451
207	118	451
208	119	451
209	120	451
210	120	451
211	121	450
212	121	449
213	122	448
214	122	448
215	123	447
216	123	446
217	124	447
218	125	446
219	125	446
220	126	445
221	126	445
222	127	444
223	128	443
224	128	442
225	128	441
226	129	441
227	130	440
228	130	440
229	131	440
230	132	440
231	132	439
232	132	437
233	133	436
234	134	436
235	134	435
236	135	434
237	135	434
238	136	434
239	137	434
240	137	433
241	138	433
242	138	432
243	139	431
244	139	430
245	140	429
246	140	429
247	141	428
248	142	428
249	142	428
250	143	427
251	143	426
252	144	426
253	144	425
254	145	424
255	145	423
256	146	423
257	147	423
258	147	423
259	148	422
260	148	421
261	149	421
262	149	420
263	150	418
264	150	418
265	151	417
266	152	417
267	152	417
268	153	416
269	153	416
270	154	415
271	154	414
272	155	413
273	155	412
274	156	412
275	156	411
276	157	411
277	158	410
278	158	410
279	159	410
280	159	409
281	160	408
282	161	407
283	161	407
284	162	406
285	162	406
286	163	406
287	164	405
288	164	405
289	165	404
290	165	403
291	166	402
292	166	402
293	167	401
294	167	400
295	168	400
296	169	400
297	169	400
298	170	399
299	171	399
300	171	398
301	172	397
302	172	396
303	173	396
304	173	396
305	174	395
306	175	395
307	175	395
308	176	394
309	177	394
310	177	393
311	178	392
312	178	392
313	179	392
314	180	391
315	180	391
316	181	390
317	181	390
318	182	389
319	182	388
320	183	388
321	184	388
322	185	388
323	185	387
324	186	387
325	187	386
326	187	386
327	188	385
328	188	384
329	189	383
330	189	383
331	190	382
332	190	382
333	191	381
334	192	381
335	192	380
336	193	380
337	193	379
338	194	378
339	194	378
340	195	377
341	196	377
342	196	376
343	197	376
344	197	375
345	198	374
346	198	374
347	199	373
348	199	372
349	200	372
350	200	371
351	201	371
352	202	370
353	203	370
354	203	370
355	204	369
356	204	368
357	205	368
358	205	367
359	206	366
360	206	366
361	207	365
362	208	365
363	208	364
364	209	364
365	209	363
366	210	362
367	210	361
368	211	361
369	211	360
370	212	360
371	213	359
372	213	359
373	214	358
374	214	358
375	215	357
376	215	356
377	216	355
378	216	355
379	217	354
380	217	353
381	218	353
382	219	352
383	219	352
384	220	351
385	220	350
386	221	350
387	221	349
388	221	348
389	222	347
390	223	347
391	223	347
392	224	346
393	225	346
394	225	345
395	226	344
396	226	344
397	227	343
398	227	342
399	227	341
400	228	341
401	229	340
402	229	340
403	230	339
404	230	339
405	231	338
406	232	338
407	232	337
408	233	336
409	233	336
410	234	335
411	235	335
412	235	335
413	236	334
414	236	333
415	237	333
416	237	332
417	238	331
418	238	331
419	239	330
420	240	330
421	240	329
422	241	329
423	241	328
424	242	327
425	242	327
426	243	326
427	243	325
428	244	325
429	244	324
430	245	324
431	246	323
432	246	323
433	247	322
434	247	321
435	248	321
436	248	320
437	249	319
438	249	319
439	250	318
440	251	318
441	251	318
442	252	317
443	252	316
444	253	316
445	253	315
446	254	315
447	255	314
448	255	313
449	256	313
450	256	312
451	257	312
452	258	311
453	258	310
454	259	310
455	259	309
456	260	309
457	260	308
458	261	307
459	261	307
460	262	307
461	263	306
462	263	306
463	264	305
464	264	304
465	265	304
466	265	303
467	266	302
468	266	302
469	267	301
470	268	301
471	268	300
472	269	300
473	269	299
474	270	298
475	270	298
476	271	297
477	272	297
478	272	296
479	273	296
480	274	295
481	274	295
482	275	294
483	275	293
484	276	293
485	276	292
486	277	292
487	277	291
488	278	291
489	279	290
490	279	290
491	280	289
492	281	289
493	281	288
494	282	287
495	282	287
496	283	286
497	283	286
498	284	285
499	285	285
500	285	284
501	286	284
502	286	283
503	287	282
504	287	282
505	288	281
506	288	281
507	289	280
508	290	280
509	291	279
510	291	279
511	292	278
512	292	277
513	293	277
514	293	276
515	294	275
516	294	275
517	295	275
518	296	274
519	296	273
520	297	273
521	297	272
522	298	272
523	298	271
524	299	270
525	299	269
526	300	269
527	300	269
528	301	268
529	302	268
530	302	267
531	303	266
532	303	266
533	304	265
534	304	264
535	305	264
536	305	263
537	306	263
538	307	262
539	307	262
540	308	261
541	308	261
542	309	260
543	309	259
544	310	259
545	311	258
546	312	258
547	312	257
548	313	257
549	313	256
550	314	256
551	314	255
552	315	254
553	315	254
554	316	253
555	317	253
556	317	252
557	318	252
558	318	251
559	319	251
560	320	250
561	320	249
562	321	249
563	321	248
564	322	248
565	322	247
566	323	247
567	324	246
568	324	245
569	325	245
570	325	244
571	326	244
572	326	243
573	326	242
574	327	242
575	328	241
576	329	241
577	329	240
578	330	240
579	330	239
580	331	238
581	331	238
582	332	237
583	332	237
584	333	236
585	334	236
586	335	235
587	335	235
588	336	234
589	336	234
590	337	233
591	338	233
592	339	232
593	339	232
594	340	231
595	340	231
596	341	230
597	341	229
598	342	229
599	343	228
600	343	228
601	344	227
602	344	227
603	345	226
604	346	225
605	346	225
606	347	224
607	347	224
608	348	223
609	348	222
610	349	222
611	349	221
612	350	221
613	351	220
614	351	220
615	352	219
616	352	218
617	353	218
618	353	217
619	354	217
620	354	216
621	355	216
622	356	215
623	356	214
624	357	214
625	357	213
626	358	213
627	358	212
628	359	212
629	360	211
630	360	210
631	361	210
632	362	209
633	362	209
634	363	208
635	364	208
636	364	207
637	365	207
638	365	206
639	366	206
640	367	205
641	367	205
642	368	204
643	368	203
644	369	203
645	370	202
646	370	202
647	371	201
648	371	201
649	372	200
650	373	200
651	373	199
652	374	199
653	375	198
654	375	197
655	376	197
656	376	196
657	377	196
658	378	195
659	378	195
660	379	194
661	379	193
662	380	193
663	380	192
664	381	192
665	382	191
666	383	191
667	383	190
668	384	190
669	385	189
670	385	189
671	386	188
672	386	187
673	387	187
674	387	186
675	388	186
676	389	185
677	390	185
678	390	184
679	391	184
680	391	183
681	392	182
682	392	182
683	393	181
684	394	181
685	394	180
686	395	180
687	396	179
688	396	179
689	397	178
690	397	177
691	398	177
692	399	176
693	399	176
694	400	175
695	401	175
696	401	174
697	402	174
698	402	173
699	403	172
700	404	172
701	404	171
702	405	171
703	406	170
704	407	170
705	407	169
706	408	169
707	408	168
708	409	168
709	410	167
710	411	167
711	411	166
712	412	166
713	413	165
714	413	164
715	414	164
716	414	163
717	415	163
718	416	162
719	417	162
720	417	161
721	418	161
722	418	160
723	419	159
724	420	159
725	420	158
726	421	158
727	421	157
728	422	157
729	423	156
730	423	156
731	424	155
732	425	154
733	425	154
734	426	153
735	426	153
736	427	152
737	428	152
738	428	151
739	429	150
740	430	150
741	430	149
742	431	149
743	432	148
744	432	148
745	433	147
746	433	146
747	434	146
748	435	145
749	435	145
750	436	144
751	436	144
752	437	143
753	438	142
754	438	142
755	439	141
756	440	141
757	440	140
758	441	140
759	442	139
760	442	138
761	443	138
762	443	137
763	444	137
764	445	136
765	445	136
766	446	135
767	446	134
768	447	134
769	447	133
770	448	133
771	449	132
772	449	132
773	450	131
774	451	131
775	451	130
776	452	129
777	452	129
778	453	128
779	454	128
780	454	127
781	455	127
782	456	126
783	456	125
784	457	125
785	457	124
786	458	124
787	459	123
788	459	122
789	460	122
790	461	121
791	462	121
792	462	120
793	463	120
794	463	119
795	464	118
796	465	118
797	465	117
798	466	117
799	467	116
800	467	116
801	468	115
802	468	115
803	469	114
804	469	113
805	470	113
806	471	112
807	471	112
808	472	111
809	473	110
810	473	110
811	474	109
812	474	109
813	475	108
814	476	108
815	476	107
816	477	106
817	478	106
818	478	105
819	479	105
820	479	104
821	480	104
822	480	103
823	481	102
824	482	102
825	483	101
826	483	101
827	484	100
828	484	99
829	485	99
830	485	98
831	486	98
832	487	97
833	487	97
834	488	96
835	489	95
836	489	95
837	490	94
838	490	94
839	491	93
840	492	93
841	492	92
842	493	91
843	494	91
844	494	90
845	495	90
846	495	89
847	496	88
848	497	88
849	497	87
850	498	87
851	499	86
852	500	86
853	500	85
854	501	85
855	501	84
856	502	83
857	503	83
858	503	82
859	504	82
860	504	81
861	505	80
862	506	80
863	506	79
864	507	79
865	508	78
866	508	78
867	509	77
868	510	76
869	510	76
870	511	75
871	511	75
872	512	74
873	513	73
874	514	73
875	514	72
876	515	72
877	516	71
878	516	71
879	517	70
880	517	69
881	518	69
882	518	68
883	519	68
884	520	67
885	520	66
886	521	66
887	521	65
888	522	65
889	522	64
890	523	64
891	523	63
892	524	62
893	525	62
894	526	61
895	526	61
896	527	60
897	527	59
898	528	59
899	528	58
900	529	58
901	530	57
902	530	57
903	531	56
904	532	55
905	532	55
906	533	54
907	533	54
908	534	53
909	534	52
910	535	52
911	536	51
912	536	51
913	537	50
914	538	49
915	538	49
916	539	48
917	539	48
918	540	47
919	541	47
920	541	46
921	542	45
922	543	45
923	543	44
924	544	44
925	544	43
926	545	42
927	545	42
928	546	41
929	547	41
930	547	40
931	548	40
